,microsecs,n_reprocessing
29601,1235,0
29874,1747,0
29917,1249,0
29941,1506,0
29968,851,0
30003,735,0
30031,1261,0
30051,1329,0
30095,2596,0
30293,1010,0
30441,1727,0
30464,716,0
30620,1547,0
30651,849,0
30775,1509,0
30794,1480,0
30841,766,0
30970,1512,0
31040,1607,0
31067,1198,0
31129,1312,0
31165,766,0
31297,1380,0
31328,795,0
31443,2320,0
31471,934,0
31491,1401,0
31511,1311,0
31535,1108,0
31558,1824,0
31706,2740,0
31732,1183,0
31777,1258,0
31804,1111,0
31824,1120,0
31856,1759,0
31880,828,0
31916,865,0
31944,1328,0
31956,1492,0
31975,769,0
32002,1010,0
32022,1222,0
32193,1184,0
32213,861,0
32240,758,0
32260,903,0
32432,1105,0
32471,828,0
32594,2226,0
32623,1188,0
32656,1320,0
32724,1639,0
32735,1006,0
32762,1079,0
32801,772,0
32923,1212,0
32952,1090,0
33007,996,0
33145,1095,0
33172,1308,0
33235,873,0
33365,575,0
33392,1149,0
33428,1264,0
33464,1536,0
33612,1773,0
33631,1441,0
33658,1412,0
33679,1479,0
33723,3771,0
33742,1280,0
33763,1338,0
33790,925,0
33801,1029,0
33847,722,0
33971,1446,0
33999,1566,0
34019,1215,0
34087,1291,0
34114,813,0
34142,1171,0
34162,1267,0
34218,1150,0
34247,1693,0
34273,796,0
34327,750,0
34450,942,0
34481,1316,0
34525,705,0
34665,2393,0
34677,1088,0
34728,726,0
34759,716,0
34905,828,0
34941,1043,0
34961,1038,0
35007,798,0
35131,1585,0
35143,1080,0
35170,1367,0
35206,1101,0
35226,1514,0
35245,1002,0
35296,1390,0
35468,1252,0
35544,1781,0
35731,674,0
35775,1244,0
35794,666,0
35838,1289,0
35858,1310,0
35886,1486,0
35906,1384,0
35954,1444,0
35984,1173,0
36012,1212,0
36032,1393,0
36052,1100,0
36193,1773,0
36219,813,0
36273,727,0
36517,1482,0
36544,835,0
36701,1614,0
36728,732,0
36756,1704,0
36939,836,0
37086,1115,0
37125,952,0
37263,1116,0
37288,1138,0
37312,1425,0
37343,1018,0
37370,1497,0
37406,1162,0
37564,1726,0
37625,703,0
37764,878,0
37792,1342,0
37967,964,0
38107,1422,0
38158,1363,0
38170,1123,0
38206,1338,0
38354,1198,0
38366,1425,0
38379,1549,0
38524,802,0
38570,1497,0
38637,1600,0
38800,983,0
38812,1595,0
38840,1547,0
38852,1339,0
38927,694,0
38947,1347,0
38980,1738,0
39014,737,0
39145,1194,0
39173,793,0
39220,1214,0
39245,1431,0
39284,767,0
39434,790,0
39565,604,0
39609,1081,0
39635,1406,0
39647,1493,0
39818,2271,0
39837,1403,0
39857,926,0
39876,785,0
39941,1264,0
40463,883,0
40491,1050,0
40523,1448,0
40569,1465,0
40629,1317,0
40796,1611,0
40821,1549,0
40841,1281,0
40876,1024,0
40887,978,0
40958,756,0
41082,1546,0
41140,1552,0
41304,1542,0
41325,1270,0
41359,1380,0
41386,1125,0
41412,1842,0
41442,1426,0
41456,1115,0
41483,928,0
41510,1242,0
41538,1341,0
41558,1104,0
41586,1120,0
41622,2138,0
41657,1271,0
41717,1393,0
41739,1377,0
41765,1302,0
41792,914,0
41831,878,0
41955,1913,0
42041,2499,0
42184,1075,0
42316,1489,0
42360,1812,0
42404,785,0
42440,1515,0
42459,845,0
42505,1672,0
42554,1495,0
42576,1052,0
42600,1263,0
42619,922,0
42647,1104,0
42659,1448,0
42686,660,0
42722,1397,0
42760,1350,0
42904,1577,0
42929,1488,0
42967,1601,0
42978,1027,0
43004,1516,0
43023,1521,0
43084,972,0
43118,1444,0
43139,1028,0
43177,757,0
43301,1509,0
43313,736,0
43341,987,0
43380,870,0
43504,903,0
43524,878,0
43553,1328,0
43579,1196,0
43623,1311,0
43670,932,0
43817,1493,0
43837,647,0
43876,735,0
43999,845,0
44018,756,0
44037,1065,0
44059,866,0
44117,1480,0
44145,1287,0
44185,867,0
44213,843,0
44284,896,0
44403,759,0
44426,771,0
44437,874,0
44494,1279,0
44530,1539,0
44571,824,0
44851,1554,0
44963,527,0
45017,1031,0
45069,1348,0
45366,1664,0
45398,1117,0
45548,1083,0
45675,1833,0
45692,1340,0
45745,2317,0
45765,1433,0
45784,690,0
45924,1375,0
45952,910,0
46007,911,0
46131,1786,0
46189,1064,0
46336,777,0
46526,796,0
46658,1298,0
46702,1600,0
46722,756,0
46750,1305,0
46808,1213,0
46828,1081,0
46848,1770,0
46859,623,0
46910,1047,0
47081,1066,0
47106,1348,0
47148,807,0
47415,1060,0
47440,1743,0
47463,963,0
47491,1048,0
47514,794,0
47646,1875,0
47665,693,0
47828,1207,0
47855,1013,0
47882,1291,0
47901,695,0
47929,964,0
47944,1443,0
47986,1957,0
48008,1494,0
48149,1728,0
48311,1358,0
48339,3373,0
48364,1245,0
48384,1161,0
48411,1115,0
48438,1477,0
48457,1066,0
48485,2082,0
48521,980,0
48809,1561,0
48832,1149,0
48852,893,0
48884,1412,0
48916,1729,0
48962,959,0
48978,1360,0
49006,1486,0
49025,953,0
49052,919,0
49199,831,0
49355,1239,0
49375,946,0
49419,944,0
49444,1706,0
49507,1468,0
49519,1279,0
49539,1235,0
49577,1361,0
49602,835,0
49645,1274,0
49661,1373,0
49693,1518,0
49713,1275,0
49756,703,0
49778,1377,0
49839,831,0
49981,853,0
50105,1219,0
50141,944,0
50185,1497,0
50228,1308,0
50240,1288,0
50272,1752,0
50296,999,0
50323,839,0
50343,1011,0
50356,1594,0
50375,1023,0
50406,581,0
50546,1237,0
50585,879,0
50728,779,0
50884,1574,0
50912,1533,0
50931,1624,0
50957,921,0
51004,842,0
51128,1662,0
51189,881,0
51328,794,0
51355,1086,0
51374,994,0
51447,1483,0
51467,1715,0
51527,1933,0
51554,1995,0
51575,1024,0
51595,1190,0
51743,1440,0
51774,796,0
51909,1629,0
51933,438,0
51967,636,0
52008,1625,0
52173,1156,0
52201,1142,0
52237,938,0
52273,1624,0
52293,1179,0
52329,1070,0
52368,1195,0
52408,1523,0
52427,935,0
52625,748,0
52749,1655,0
52812,1092,0
52950,1159,0
52992,1402,0
53011,688,0
53022,1047,0
53049,1077,0
53068,1013,0
53091,1230,0
53135,1339,0
53199,994,0
53363,1069,0
53402,719,0
53550,1225,0
53570,832,0
53598,1236,0
53816,1083,0
53844,1400,0
53871,788,0
53894,1091,0
53925,633,0
54073,2016,0
54093,930,0
54140,1466,0
54174,754,0
54333,924,0
54461,1044,0
54484,823,0
54539,719,0
54661,623,0
54706,1686,0
54718,1170,0
54738,885,0
54885,963,0
54916,751,0
55040,854,0
55052,785,0
55309,1196,0
55345,823,0
55377,1509,0
55408,943,0
55455,689,0
55598,925,0
55781,761,0
56088,758,0
56190,1504,0
56241,497,0
56274,1647,0
56297,1137,0
56352,651,0
56484,1232,0
56515,806,0
56654,830,0
56688,1015,0
56740,1487,0
56776,1274,0
56798,1349,0
56835,1020,0
56978,697,0
57107,1812,0
57129,1206,0
57141,1451,0
57160,867,0
57300,1381,0
57328,1547,0
57410,1506,0
57430,1454,0
57450,1283,0
57485,1188,0
57513,1249,0
57565,1139,0
57584,1237,0
57604,1636,0
57632,1001,0
57653,824,0
57705,1449,0
57760,951,0
57924,1152,0
57952,1244,0
58117,1038,0
58176,3575,0
58343,664,0
58483,1121,0
58519,1247,0
58531,1170,0
58558,566,0
58578,974,0
58613,1128,0
58641,1431,0
58668,968,0
58704,710,0
58759,1094,0
58891,1725,0
58919,1557,0
58959,792,0
59125,1169,0
59249,1107,0
59276,1108,0
59315,663,0
59446,1151,0
59485,634,0
59585,1488,0
59611,1157,0
59630,996,0
59642,1765,0
59662,1420,0
59690,1292,0
59732,1170,0
59767,1555,0
59781,1349,0
59871,1418,0
59915,2025,0
59942,607,0
59964,1684,0
59990,1139,0
60002,1319,0
60029,1459,0
60069,1577,0
60103,1370,0
60120,1358,0
60151,1068,0
60223,1645,0
60262,1493,0
60303,1331,0
60339,1406,0
60367,1255,0
60603,1344,0
60650,873,0
60742,1427,0
60769,1521,0
60790,1541,0
60818,924,0
60845,802,0
60865,1295,0
60899,1020,0
60911,1400,0
61051,1937,0
61071,974,0
61099,1161,0
61151,1378,0
61187,1211,0
61242,784,0
61334,1237,0
61381,882,0
61473,1101,0
61493,1107,0
61520,1006,0
61567,728,0
61787,1420,0
61818,689,0
61910,1444,0
61929,657,0
61950,1614,0
61977,1654,0
62104,1526,0
62128,905,0
62201,1519,0
62242,1462,0
62302,829,0
62402,1353,0
62414,943,0
62433,1016,0
62467,892,0
62495,1429,0
62515,1326,0
62547,1210,0
62570,934,0
62582,1227,0
62609,667,0
62637,1443,0
62712,1090,0
62732,645,0
62760,1496,0
62790,1329,0
62807,593,0
62833,1471,0
62846,994,0
62858,1283,0
62893,1310,0
62940,821,0
63032,1532,0
63087,913,0
63230,723,0
63418,1270,0
63566,832,0
63593,1249,0
63640,874,0
63737,1099,0
63902,732,0
63933,1124,0
63981,1395,0
64056,1843,0
64082,924,0
64095,932,0
64136,2024,0
64180,1314,0
64223,1520,0
64266,1283,0
64282,5637,0
64298,1648,0
64326,1220,0
64354,1825,0
64392,858,0
64416,498,0
64436,1152,0
64499,880,0
64614,1491,0
64669,901,0
64796,647,0
64895,626,0
64923,1246,0
64983,1330,0
65003,944,0
65050,569,0
65149,800,0
65204,847,0
65303,1385,0
65323,1342,0
65359,1286,0
65387,1038,0
65418,1586,0
65449,1233,0
65590,1585,0
65651,1321,0
65677,1265,0
65704,1098,0
65758,865,0
65938,1093,0
66001,1619,0
66029,1021,0
66060,960,0
66084,1382,0
66120,849,0
66156,1411,0
66211,875,0
66311,1317,0
66358,805,0
66462,1373,0
66486,1024,0
66541,827,0
66641,1587,0
66653,823,0
66708,754,0
66827,941,0
66949,646,0
66990,1607,0
67013,977,0
67076,727,0
67184,1849,0
67210,955,0
67232,1570,0
67266,1645,0
67286,957,0
67333,703,0
67433,1474,0
67444,527,0
67491,660,0
67599,1308,0
67627,1168,0
67690,779,0
67801,784,0
67901,1366,0
67933,1292,0
67956,515,0
67992,1528,0
68014,1008,0
68032,1581,0
68052,1285,0
68191,1250,0
68226,1306,0
68262,1004,0
68291,1470,0
68317,867,0
68361,1921,0
68389,1348,0
68484,622,0
68535,1426,0
68555,906,0
68590,1444,0
68602,1036,0
68645,1387,0
68658,1075,0
68685,863,0
68713,1331,0
68749,1144,0
68778,1268,0
68805,1230,0
68841,1159,0
68869,893,0
68903,1197,0
68939,894,0
68958,653,0
68977,820,0
69025,1648,0
69100,799,0
69216,1271,0
69260,1125,0
69307,884,0
69410,896,0
69434,702,0
69453,890,0
69502,1253,0
69658,1325,0
69679,1029,0
69749,790,0
69858,1446,0
69943,807,0
70038,815,0
70157,697,0
70284,979,0
70390,592,0
70418,1150,0
70438,1346,0
70489,1135,0
70517,2175,0
70546,1475,0
70587,1454,0
70615,2058,0
70650,824,0
70678,2194,0
70700,1463,0
70734,1689,0
70781,1245,0
70825,661,0
70925,1628,0
70965,1440,0
71000,914,0
71101,1365,0
71136,1373,0
71164,1267,0
71192,1552,0
71231,703,0
71331,1162,0
71394,665,0
71518,1251,0
71554,1349,0
71589,898,0
71618,1467,0
71645,1446,0
