final_rate,run,nodes,scenario
459.1371446751239,18-02-run1,6,8
748.4642934779988,18-02-run1,9,16
907.1149941015075,18-02-run1,9,32
552.0019805521941,18-02-run1,9,4
584.911252073748,18-02-run1,9,8
929.903470923847,18-02-run2,12,16
1331.4916531358044,18-02-run2,12,32
423.1609281868911,18-02-run2,12,4
723.1106674033351,18-02-run2,12,8
433.34829329644487,18-02-run2,3,16
377.28697717205296,18-02-run2,3,32
291.9683134742603,18-02-run2,3,4
348.07406605955265,18-02-run2,3,8
624.7052324456297,18-02-run2,6,16
633.7419099747777,18-02-run2,6,32
376.8953885352938,18-02-run2,6,4
497.9546579647975,18-02-run2,6,8
755.7891276171202,18-02-run2,9,16
856.9224877730464,18-02-run2,9,32
547.4805124202109,18-02-run2,9,4
550.7862778977194,18-02-run2,9,8
776.6491721703075,18-02-run3,12,16
919.7837844022762,18-02-run3,12,32
478.7159636851355,18-02-run3,12,4
707.4407740558875,18-02-run3,12,8
423.0093869763488,18-02-run3,3,16
412.88734638286803,18-02-run3,3,32
234.54963040907666,18-02-run3,3,4
348.8818433386825,18-02-run3,3,8
738.559147529271,18-02-run3,6,16
677.4416920143557,18-02-run3,6,32
395.8634412799193,18-02-run3,6,4
473.94406303063994,18-02-run3,6,8
781.1945949939666,18-02-run3,9,16
790.3158177087568,18-02-run3,9,32
524.0060823586805,18-02-run3,9,4
666.1469610125833,18-02-run3,9,8
1039.3373147033838,19-02-run1,12,16
796.0800908061811,19-02-run1,12,32
496.64012846467034,19-02-run1,12,4
669.2441243318923,19-02-run1,12,8
358.14927156146797,19-02-run1,3,16
358.21902834295764,19-02-run1,3,32
310.34626326942396,19-02-run1,3,4
348.6437315715683,19-02-run1,3,8
615.5044626258581,19-02-run1,6,16
587.5058485840036,19-02-run1,6,32
272.95671356492005,19-02-run1,6,4
488.0232896582552,19-02-run1,6,8
521.2355034450893,19-02-run1,9,16
857.7479581357034,19-02-run1,9,32
561.0905419962997,19-02-run1,9,4
664.2564991983458,19-02-run1,9,8
908.5440754087513,19-02-run2,12,16
724.9949975707665,19-02-run2,12,32
367.2658998757728,19-02-run2,12,4
696.5214806900763,19-02-run2,12,8
366.9373636496533,19-02-run2,3,16
358.0457323707802,19-02-run2,3,32
291.9331693673561,19-02-run2,3,4
423.2319097069595,19-02-run2,3,8
721.3119287721205,19-02-run2,6,16
685.0461873347526,19-02-run2,6,32
301.56141437796583,19-02-run2,6,4
339.2447551764318,19-02-run2,6,8
883.6348221563023,19-02-run2,9,16
868.6079615671135,19-02-run2,9,32
497.0388940196309,19-02-run2,9,4
578.0407344681296,19-02-run2,9,8
